Model,IS R²,IS RMSE,OOS R²,OOS RMSE
Base — VRP,0.007713,4.613841,0.004288,4.082070
Model A — VRP + Term Slope,0.027587,4.567403,0.022006,4.045590
Model B — VRP + Trend Q,0.009022,4.610797,-0.000071,4.090996
Model C — VRP + VVIX MA5,0.025146,4.573134,0.020898,4.047879
Model G — VRP x VVIX MA5,0.011284,4.605532,0.008088,4.074275
Model H — VRP+/VRP-,0.012233,4.603320,-0.019053,4.129638
Model VS — VVIX MA5 + TS,0.022656,4.578969,0.011679,4.066892
VVIX MA5 (univariate),0.016583,4.593173,0.012834,4.064516
VVIX raw (univariate),0.016430,4.593531,0.013113,4.063941
VIX Basis,0.001116,4.629152,-0.019952,4.131459
VIX Spot,0.015064,4.596720,0.016876,4.056186
Vol Trend,0.000001,4.631737,-0.001548,4.094017
Term Slope,0.014828,4.597271,0.006422,4.077694
