model,variable,coef,nw_se,t_stat,adj_r2,n
Base,const,0.009087,0.002371,3.8333,0.007511,4913
Base,VP,5.6e-05,2.9e-05,1.9606,0.007511,4913
Model_A,const,0.012774,0.003719,3.4349,0.027191,4913
Model_A,VP,7.3e-05,2.9e-05,2.505,0.027191,4913
Model_A,term_slope,-0.001054,0.000588,-1.7942,0.027191,4913
Model_B,const,0.030558,0.051784,0.5901,0.008619,4913
Model_B,VP,5.9e-05,3e-05,1.9547,0.008619,4913
Model_B,trend_q,-0.020623,0.04859,-0.4244,0.008619,4913
Model_C,const,-0.027296,0.015638,-1.7454,0.024749,4913
Model_C,VP,5.9e-05,2.9e-05,2.0662,0.024749,4913
Model_C,vvix_ma5,0.00039,0.000168,2.324,0.024749,4913
